"Informazioni cronologiche","Qual è il tuo corso di laurea in informatica?","Considerando l'immagine di seguito come valuteresti la leggibilità su una scala da 1 a 5 ?","Considerando l'immagine di seguito come valuteresti la leggibilità su una scala da 1 a 5 ?","Considerando l'immagine di seguito riusciresti a definire quale feature (caratteristica o proprietà individuale e misurabile) è più rilevante?","Potresti spiegare con una breve argomentazione il motivo della scelta della risposta precedente?","Considerando l'immagine di seguito riusciresti a definire quale feature (caratteristica o proprietà individuale e misurabile) è più rilevante?","Potresti spiegare con una breve argomentazione il motivo della scelta della risposta precedente?","Considerando l'immagine di seguito su una scala da 1 a 5 quanto riusciresti ad identificare a cosa sono associati i colori nel grafico?","Potresti spiegare con una breve argomentazione il motivo della scelta della risposta precedente?","Considerando l'immagine di seguito come valuteresti la chiarezza delle informazioni su una scala da 1 a 5 ?","Considerando l'immagine di seguito come valuteresti la chiarezza delle informazioni su una scala da 1 a 5 ?","Quanto valuteresti rilevante su una scala da 1 a 5 l'utilizzo del grafico rappresentato nell'immagine sottostante per spiegare una predizione?","Quanto valuteresti rilevante su una scala da 1 a 5 l'utilizzo del grafico rappresentato nell'immagine sottostante per spiegare una predizione?","Pensi sia stato utile questo questionario per rilevare il grado di spiegabilità delle librerie prese in considerazione? Scrivi le tue osservazioni e considerazioni"
"2023/05/05 6:34:35 PM EEST","Magistrale","2","4","Feature 6","Le feature non sono ordinate in base al numero e la barra della fedture 6 è quella più lunga","No ","Il grafico non è chiaro rispetto alla rilevanza delle feature ","5","C'è la legenda ","4","2","5","3","Credo sia utile, ma forse il grafico arancione e blu è un po' piccolo da telefono. #FREELEONARDOMONACONONHAFATTOUNCAZZO "
"2023/05/05 6:39:11 PM EEST","Magistrale","2","5","Feature 6","La 6 ha la barra più lunga ","Non lo so","- ","3","-","3","1","4","1","Si, è utile per capire la differenza "
"2023/05/05 6:55:06 PM EEST","Triennale","2","3","Feature 6","Nella feature 6 sia la barra blu che rossa sono più grandi quindi mi fa pensare che sia più importante","Non ho idea di quali siano le feature individuate in questa immagine","L'immagine non mi è chiara","5","C'è scritto in basso a destra a cosa corrispondono i colori","3","1","3","2","Credo di si"
"2023/05/05 6:59:04 PM EEST","Magistrale","1","2","NC","Feauture 6 è visibilmente quella con maggior impatto ","No","L'allineamento verticale dell'immagine di sinistra mi confonde","2","Non è chiaro se la classe 1 è impattata dalla sola lunghezza del segmento rosso, dalla lunghezza del segmento rosso partendo però dal valore in corrispondenza del quale inizia, o rappresenta la soglia entro lq quale quella classe è influenzata dalla feature","2","1","2","1","No, servirebbe l'esemplificazione di un problema per poter proiettare i grafici in un contesto"
"2023/05/05 7:06:34 PM EEST","Triennale","2","5","Quella più rilevante e la feature 6 ","Poiché il grafico è molto esplicativo dato da l fatto che la feature 6 ha uno scarto consistente rispetto alla feature 0 ","Sembrerebbe che feature (0) e la più importante, ma questo si nota solamente con un analisi dettagliata del grafico ","Perché è molto con confusionario ed la differenza grafica tra le varia feature non vi vede bene ","5","Perché vi è presente una leggenda che lo spiega ","5","3","5","2","Si, poiché ci mostra delle differenze sostanziali "
"2023/05/05 7:32:01 PM EEST","Magistrale","1","3","Feature 6","No","NC","No","5","Grazie alla legenda","5","3","3","5","Si"
"2023/05/05 8:04:37 PM EEST","Magistrale","2","5","6","è la feature più incidente","poco","il primo schema non è intuitivo e visualizzabile con semplicità","5","la leggenda in basso a destra, semplifica ","5","3","5","3","più si che no"
"2023/05/05 8:16:42 PM EEST","Triennale","4","5","Feature 6 ","Il grafico mostra quale feature ha il maggiore impatto sul modello e la feature 6 ha il valore più alto ","Nc","È la barra con una maggiore lunghezza ","5","Ci sta la leggenda che dice a cosa sono associati ","4","2","5","2","Penso di sì, visto che una delle due librerie la trovo, ben poco spiegabile "
"2023/05/05 9:45:03 PM EEST","Triennale","3","5","Feature 6","Credo riguardo le dimensioni del grafico","Credo siano sullo stesso piano","Noto che ogni feature ha nomi diversi","5","La legenda appare molto chiara","3","1","1","1","A mio modo di vedere bisognerebbe approfondire un po' in più le librerie"
"2023/05/05 10:47:07 PM EEST","Magistrale","2","5","Feature 6","perché la barra della feature 6 è nettamente quella che impatta di più (la più lunga)","NC-0","Perché hai la percentuale più alta ","5","È leggibile perché i colori hanno un buon contrasto col resto del grafico e ciò rende leggibile anche la legenda","4","2","4","2","Si, penso che studiare l’explainability in questo modo possa portare a buoni risultati "
"2023/05/08 7:26:02 PM EEST","Magistrale","1","4","6","Quello più lungo","No","Non riesco a capire quale dovrebbe essere la più rilevante ","5","Class 1 class 2","1","1","4","1","No"
"2023/05/09 2:08:35 PM EEST","Magistrale","1","5","Feature 6","Risulta essere la caratteristica con più impatto data la presenza maggiore di entrambe le classi (1,0)","Sinceramente non ho compreso il grafico in questione","Sinceramente non ho compreso il grafico in questione ","4","Immagino che nel calcolo delle varie feature rientri l'utilizzo di due parametri differenti ","4","1","4","1","Sinceramente non ho compreso l'utilizzo di uno dei due tipi di grafici (come già detto in alcune delle precedenti risposte). Potrei aggiungere, inoltre, che un grafico a barre è sempre una delle scelte migliori per comparare diversi elementi, risultando graficamente più semplice da leggere."
"2023/05/10 10:17:47 AM EEST","Triennale","2","5","Feauture 6","Ha un valore più alto sulla scala dell'impatto","No, non saprei interpretarlo ","Il grafico risulta confusionario e difficile da interpretare ","5","Lo dice la legenda ","1","1","2","2","Non credo "
"2023/05/10 9:14:47 PM EEST","Triennale","4","2","Feature 1",".",".",".","3",".","3","5","4","4","."
"2023/05/11 11:37:32 AM EEST","dottorato","1","4","si, la 6","è quello che si evince dal grafico","no","le immagini sono troppo piccole","5","i colori indicano chiaramente l'impatto delle diverse feature sulle due classi di ouput del modello","4","1","2","3","non capisco la domanda, quali librerie?"
